market                                   side     ours   others    total    tgt qual self off  $/day
usgubewc-usgub-wy-2026-11-03-rep         BUY     1,800      242    2,042  2,000    y   no   0   3.40
usgubewc-usgub-wy-2026-11-03-rep         SELL    2,551    3,301    5,852  2,000    y    y   0   2.72
ussewc-usse-al-2026-11-03-dem            BUY       200    7,841    8,041  2,000    y   no   0   0.44
ussewc-usse-al-2026-11-03-dem            SELL       20  203,630  203,650  2,000    y   no   2   0.02
ussewc-usse-al-2026-11-03-rep            BUY         0  500,533  500,533  2,000    y   no   -   0.00
ussewc-usse-al-2026-11-03-rep            SELL        0   30,970   30,970  2,000    y   no   -   0.00
ussewc-usse-ar-2026-11-03-dem            BUY         0      203      203  2,000   NO   no   -   0.00
ussewc-usse-ar-2026-11-03-dem            SELL        0  265,794  265,794  2,000    y   no   -   0.00
ussewc-usse-ar-2026-11-03-rep            BUY        50  500,244  500,294  2,000    y   no   0   3.32
ussewc-usse-ar-2026-11-03-rep            SELL        0   20,225   20,225  2,000    y   no   -   0.00
ussewc-usse-co-2026-11-03-dem            BUY         0  500,202  500,202  2,000    y   no   -   0.00
ussewc-usse-co-2026-11-03-dem            SELL      103   23,301   23,404  2,000    y   no   0   0.03
ussewc-usse-co-2026-11-03-rep            BUY         0   11,300   11,300  2,000    y   no   -   0.00
ussewc-usse-co-2026-11-03-rep            SELL        0   69,363   69,363  2,000    y   no   -   0.00
ussewc-usse-de-2026-11-03-dem            BUY         0  500,662  500,662  2,000    y   no   -   0.00
ussewc-usse-de-2026-11-03-dem            SELL       40   14,970   15,010  2,000    y   no   0   0.02
ussewc-usse-de-2026-11-03-rep            BUY       300    5,200    5,500  2,000    y   no   0   0.35
ussewc-usse-de-2026-11-03-rep            SELL       50  130,801  130,851  2,000    y   no   0   2.48
